F1234,Ha Noi,Ho Chi Minh,2023-10-21T12:12,2023-10-21T14:12,0,1
F0010,Ha Noi,Nha Trang,2023-10-14T15:00,2023-10-14T19:45,3,5
F0012,Vinh,Da Lat,2023-10-12T20:10,2023-10-12T22:45,10,11
F0004,Ha Noi,Los Angeles,2023-09-27T23:10,2023-09-28T02:40,5,7
F0003,Vinh,Hue,2023-09-27T13:10,2023-09-27T16:00,7,8
F0007,Nha Trang,Hue,2023-09-26T15:00,2023-09-27T17:45,5,6
F0001,Ha Noi,Nha Trang,2023-09-25T23:50,2023-09-26T04:10,8,10
F0011,Nha Trang,Da Lat,2023-09-24T15:00,2023-09-26T15:45,5,6
F0013,Ha Noi,Da Lat,2023-09-24T15:00,2023-09-26T01:45,9,9
F0002,Vinh,Busan,2023-09-24T13:50,2023-09-27T00:00,9,11
F0009,Nha Trang,Da Nang,2023-09-24T13:00,2023-09-26T12:45,3,4
F0006,Ha Noi,Nha Trang,2023-09-24T11:00,2023-09-25T05:00,3,5
F0008,Nha Trang,Da Lat,2023-09-24T01:00,2023-09-26T03:45,1,2
F0005,Da Nang,Da Lat,2023-09-23T20:15,2023-09-24T03:00,2,4
F0014,Da Nang,Da Lat,2023-10-12T14:00,2023-10-12T20:45,5,6
